Year,Month,Period,Data Value,Status,Units,Subject,Group,Series
2000,Jun,2000.06,69.856575,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing not more than 14% alc.
2000,Dec,2000.12,69.697296,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing not more than 14% alc.
2000,Mar,2000.03,69.332674,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing not more than 14% alc.
2000,Sep,2000.09,69.539541,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing not more than 14% alc.
2000,Jun,2000.06,2.277169,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing more than 14% alcohol
2000,Dec,2000.12,2.150107,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing more than 14% alcohol
2000,Mar,2000.03,2.360771,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing more than 14% alcohol
2000,Sep,2000.09,2.206761,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing more than 14% alcohol
2000,Jun,2000.06,72.133745,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine
2000,Dec,2000.12,71.847403,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine
2000,Mar,2000.03,71.693447,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine
2000,Sep,2000.09,71.746304,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine
2000,Jun,2000.06,8.93806,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 15 Years and Over for Total Alcohol
2000,Dec,2000.12,8.906362,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 15 Years and Over for Total Alcohol
2000,Mar,2000.03,8.839656541,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 15 Years and Over for Total Alcohol
2000,Sep,2000.09,8.953523,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 15 Years and Over for Total Alcohol
2000,Jun,2000.06,9.460174,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 18 Years and Over for Total Alcohol
2000,Dec,2000.12,9.428868,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 18 Years and Over for Total Alcohol
2000,Mar,2000.03,9.355439932,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 18 Years and Over for Total Alcohol
2000,Sep,2000.09,9.477498,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 18 Years and Over for Total Alcohol
2000,Jun,2000.06,9.846178,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 20 Years and Over for Total Alcohol
2000,Dec,2000.12,9.812438,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 20 Years and Over for Total Alcohol
